------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format dd/MM/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F25160319
Start Time 15:43:00
Start Date 06/04/2021
Epoch Period (hh:mm:ss) 00:00:00
Download Time 15:59:38
Download Date 06/04/2021
Current Memory Address: 0
Current Battery Voltage: 4.13     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.359,-1.125,0.637
-0.242,-1.148,0.789
-0.066,-1.25,0.625
0.09,-1.215,0.402
0.262,-1.352,0.371
0.07,-1.105,0.117
-0.34,-1.266,0.164
-0.047,-1.297,0.477
0.02,-1.09,0.48
0.055,-1.176,0.355
0.148,-0.949,0.16
0.129,-0.82,0.246
0.047,-0.824,0.301
-0.031,-0.898,0.266
-0.047,-1.016,0.227
-0.078,-1.078,0.18
-0.094,-1.07,0.18
-0.133,-1.008,0.168
-0.133,-0.965,0.141
-0.113,-0.934,0.102
-0.09,-0.906,0.082
-0.09,-0.891,0.098
-0.109,-0.871,0.121
-0.102,-0.836,0.164
-0.094,-0.801,0.203
-0.121,-0.801,0.234
-0.145,-0.82,0.25
-0.152,-0.824,0.273
-0.18,-0.785,0.234
-0.172,-0.809,0.266
-0.18,-0.824,0.246
-0.211,-0.809,0.219
-0.219,-0.824,0.207
-0.246,-0.852,0.191
-0.234,-0.863,0.211
-0.227,-0.844,0.277
-0.219,-0.766,0.301
-0.094,-0.68,0.301
0.168,-0.313,0.398
-0.168,-0.551,0.191
-0.285,-1.203,0.063
-0.145,-1.355,-0.051
-0.109,-1.555,-0.051
-0.066,-1.348,0.02
-0.07,-1.184,0.082
-0.07,-1.129,0.094
-0.113,-1.133,0.063
-0.113,-1.156,0.047
-0.176,-1.219,0.195
-0.27,-1.305,0.313
-0.34,-1.395,0.27
-0.203,-1.387,0.254
-0.207,-1.328,0.145
-0.047,-1.273,0.168
0.035,-1.25,0.152
0.043,-1.148,0.176
0.047,-1.086,0.168
0.145,-1.039,0.07
0.262,-0.973,-0.02
0.359,-0.961,-0.09
0.418,-1.004,-0.07
0.465,-1.031,-0.012
0.43,-1.004,0.059
0.336,-0.941,0.137
0.348,-0.992,0.156
0.297,-1.023,0.152
0.223,-1.039,0.152
0.176,-1.176,0.195
0.094,-1.223,0.234
-0.066,-1.238,0.289
-0.172,-1.266,0.273
-0.223,-1.27,0.211
-0.289,-1.25,0.141
-0.324,-1.25,0.086
-0.293,-1.219,0.051
-0.191,-1.059,0.113
-0.219,-0.988,0.211
0.039,-0.871,-0.074
0.332,-0.875,0.18
0.113,-1.012,0.273
-0.113,-0.762,0.09
0,-0.395,0.047
0.012,-0.402,0.152
-0.188,-0.617,0.168
-0.234,-0.738,0.211
-0.16,-0.684,0.262
-0.176,-0.648,0.242
-0.211,-0.68,0.223
-0.234,-0.703,0.254
-0.227,-0.715,0.367
-0.227,-0.777,0.496
-0.258,-0.844,0.496
-0.285,-0.852,0.449
-0.289,-0.852,0.449
-0.305,-0.875,0.391
-0.293,-0.918,0.238
-0.207,-0.984,0.207
-0.074,-1.047,0.27
0.02,-1.152,0.375
0.047,-1.211,0.398
-0.012,-1.121,0.344
-0.129,-0.98,0.313
-0.215,-0.902,0.34
-0.23,-1.031,0.348
-0.195,-1.285,0.301
-0.098,-1.559,0.277
0.055,-1.754,0.277
0.164,-1.762,0.254
0.223,-1.602,0.191
0.102,-1.32,0.09
-0.031,-1.027,0.059
-0.063,-0.844,0.082
-0.086,-0.766,0.074
-0.07,-0.789,0.07
-0.035,-0.844,0.027
0.043,-0.918,0.004
0.16,-1.008,0.027
0.258,-1.059,0.016
0.305,-1.078,0.027
0.273,-1.082,0.051
0.242,-1.094,0.105
0.172,-1.039,0.102
0.105,-0.957,0.086
0.055,-0.906,0.086
0.043,-0.887,0.113
0.023,-0.914,0.137
0.004,-0.938,0.121
-0.004,-0.926,0.094
-0.004,-0.918,0.109
-0.008,-0.898,0.117
-0.02,-0.875,0.102
-0.023,-0.84,0.086
-0.023,-0.828,0.074
-0.047,-0.836,0.066
-0.055,-0.852,0.055
-0.051,-0.871,0.043
-0.035,-0.887,0.035
-0.047,-0.91,0.035
-0.039,-0.934,0.023
-0.035,-0.953,0.023
-0.059,-0.969,0.012
-0.082,-1,0.02
-0.105,-1.043,0.051
-0.117,-1.063,0.074
-0.133,-1.059,0.066
-0.145,-1.035,0.027
-0.141,-1.004,0.008
-0.121,-0.996,-0.02
-0.102,-1,-0.031
-0.078,-1.023,-0.035
-0.066,-1.047,-0.035
-0.063,-1.066,-0.047
-0.09,-1.074,-0.066
-0.117,-1.074,-0.074
-0.148,-1.078,-0.051
-0.168,-1.086,-0.012
-0.191,-1.105,0.031
-0.215,-1.125,0.059
-0.234,-1.133,0.066
-0.254,-1.156,0.078
-0.234,-1.199,0.133
-0.148,-1.188,0.172
-0.098,-1.16,0.145
-0.074,-1.094,0.094
-0.051,-0.977,0.035
-0.004,-0.895,0
0.109,-0.895,0.031
0.258,-0.977,0.117
0.367,-1.047,0.191
0.391,-1.098,0.203
0.395,-1.137,0.27
0.398,-1.195,0.34
0.344,-1.266,0.254
0.289,-1.328,0.254
0.234,-1.367,0.285
0.117,-1.328,0.25
0.012,-1.262,0.266
-0.012,-1.223,0.289
0.004,-1.16,0.277
0.051,-1.125,0.324
0.063,-1.102,0.301
0.027,-1.07,0.258
0,-1.023,0.262
-0.043,-1,0.277
-0.109,-0.973,0.293
-0.168,-0.926,0.285
-0.23,-0.879,0.258
-0.273,-0.816,0.242
-0.289,-0.754,0.25
-0.301,-0.73,0.27
-0.301,-0.691,0.254
-0.316,-0.688,0.258
-0.316,-0.68,0.27
-0.301,-0.656,0.277
-0.301,-0.645,0.277
-0.285,-0.629,0.301
-0.266,-0.621,0.328
-0.242,-0.621,0.367
-0.223,-0.637,0.375
-0.211,-0.617,0.34
-0.203,-0.598,0.332
-0.207,-0.59,0.332
-0.215,-0.594,0.359
-0.207,-0.625,0.391
-0.211,-0.641,0.355
-0.188,-0.648,0.367
-0.168,-0.676,0.41
-0.164,-0.719,0.438
-0.168,-0.746,0.434
-0.18,-0.75,0.41
-0.191,-0.758,0.398
-0.203,-0.77,0.398
-0.199,-0.785,0.41
-0.184,-0.813,0.418
-0.168,-0.824,0.43
-0.172,-0.832,0.441
-0.176,-0.859,0.461
-0.188,-0.895,0.457
-0.211,-0.926,0.445
-0.254,-0.953,0.449
-0.313,-0.988,0.477
-0.371,-1,0.504
-0.43,-0.988,0.488
-0.5,-0.953,0.477
-0.57,-0.918,0.457
-0.609,-0.863,0.461
-0.531,-0.938,0.621
-0.352,-1.086,0.699
-0.055,-1.359,0.641
0.281,-1.762,0.488
0.527,-2.129,0.277
0.871,-2.324,0.109
1.078,-2.371,0.039
1.047,-2.223,-0.152
0.613,-1.664,-0.152
0.078,-1.012,-0.293
-0.07,-0.754,-0.047
-0.105,-0.707,0.148
-0.207,-0.613,0.117
-0.18,-0.52,0.113
-0.012,-0.523,0.191
0.16,-0.746,0.219
0.285,-1.051,0.148
0.34,-1.32,0.078
0.297,-1.461,0.078
0.242,-1.348,0.094
0.188,-1.133,0.02
0.16,-0.992,0.004
0.18,-0.914,0.039
0.172,-0.871,0.059
0.145,-0.867,0.063
0.125,-0.891,0.078
0.125,-0.906,0.121
0.105,-0.91,0.145
0.066,-0.918,0.164
0.027,-0.918,0.18
-0.031,-0.926,0.145
-0.086,-0.938,0.094
-0.09,-0.957,0.102
-0.086,-0.973,0.102
-0.133,-0.965,0.074
-0.172,-0.988,0.07
-0.215,-1.008,0.059
-0.242,-1,0.043
-0.238,-0.973,0.059
-0.234,-0.988,0.063
-0.23,-1.004,0.047
-0.203,-1.012,0.066
-0.184,-1.008,0.078
-0.168,-0.98,0.059
-0.145,-0.961,0.074
-0.137,-0.965,0.109
-0.148,-0.969,0.109
-0.148,-0.969,0.133
-0.145,-0.973,0.152
-0.133,-0.953,0.117
-0.129,-0.891,0.047
-0.121,-0.816,0.008
-0.109,-0.777,0.047
-0.094,-0.793,0.125
-0.105,-0.84,0.121
-0.145,-0.855,0.039
-0.223,-0.879,-0.016
-0.32,-0.898,-0.008
-0.313,-0.965,0.082
-0.234,-1.074,0.207
-0.125,-1.199,0.277
-0.039,-1.273,0.234
0,-1.27,0.133
0.027,-1.258,0.023
0.07,-1.215,-0.082
0.105,-1.168,-0.156
0.184,-1.129,-0.133
0.316,-1.164,-0.02
0.488,-1.211,0.164
0.605,-1.238,0.332
0.637,-1.262,0.434
0.574,-1.262,0.418
0.473,-1.262,0.371
0.332,-1.289,0.383
0.133,-1.285,0.355
-0.113,-1.285,0.301
-0.25,-1.309,0.344
-0.336,-1.332,0.371
-0.434,-1.348,0.332
-0.438,-1.293,0.32
-0.391,-1.137,0.223
-0.348,-0.984,0.164
-0.27,-0.898,0.168
-0.211,-0.848,0.176
-0.16,-0.801,0.172
-0.113,-0.766,0.18
-0.055,-0.734,0.188
-0.016,-0.719,0.199
0.008,-0.715,0.199
0.027,-0.691,0.203
0.016,-0.672,0.203
0,-0.656,0.227
-0.035,-0.66,0.246
-0.051,-0.656,0.273
-0.074,-0.668,0.281
-0.094,-0.668,0.305
-0.109,-0.668,0.336
-0.133,-0.672,0.324
-0.148,-0.637,0.305
-0.164,-0.629,0.324
-0.176,-0.664,0.379
-0.191,-0.742,0.449
-0.207,-0.852,0.539
-0.266,-0.93,0.531
-0.355,-0.957,0.453
-0.41,-0.957,0.375
-0.359,-1.012,0.352
-0.223,-1.133,0.488
-0.078,-1.277,0.57
-0.059,-1.375,0.453
-0.133,-1.367,0.434
-0.176,-1.242,0.469
-0.223,-1.148,0.504
-0.277,-1.18,0.543
-0.32,-1.246,0.531
-0.34,-1.293,0.5
-0.297,-1.359,0.5
-0.172,-1.445,0.434
-0.063,-1.461,0.301
0.055,-1.422,0.238
0.105,-1.289,0.305
0.109,-1.141,0.32
0.047,-0.992,0.273
0.039,-0.852,0.262
0.043,-0.793,0.199
0.043,-0.77,0.156
0.078,-0.797,0.145
0.121,-0.863,0.133
0.164,-0.914,0.117
0.184,-0.992,0.121
0.184,-1.047,0.133
0.172,-1.031,0.145
0.137,-1,0.152
0.105,-0.934,0.164
0.09,-0.898,0.184
0.082,-0.867,0.172
0.094,-0.84,0.172
0.109,-0.836,0.18
0.09,-0.844,0.16
0.059,-0.859,0.152
0.047,-0.879,0.176
0.012,-0.93,0.195
-0.043,-0.945,0.184
-0.059,-0.914,0.195
-0.074,-0.891,0.191
-0.098,-0.883,0.172
-0.109,-0.879,0.156
-0.086,-0.875,0.164
-0.086,-0.914,0.168
-0.09,-0.965,0.16
-0.066,-0.969,0.148
-0.07,-0.98,0.141
-0.078,-0.98,0.133
-0.082,-0.969,0.133
-0.102,-0.992,0.129
-0.125,-0.973,0.105
-0.156,-0.984,0.074
-0.156,-0.965,0.059
-0.137,-0.977,0.086
-0.145,-1.02,0.094
-0.109,-1.004,0.098
-0.078,-0.984,0.102
-0.063,-0.996,0.102
-0.063,-1.027,0.113
-0.066,-1.043,0.105
-0.082,-1.035,0.082
-0.125,-1.023,0.043
-0.215,-1.016,0.016
-0.305,-1.008,0.016
-0.34,-1.023,0.031
-0.324,-1.063,0.047
-0.27,-1.129,0.137
-0.238,-1.246,0.203
-0.219,-1.32,0.176
-0.16,-1.277,0.129
-0.051,-1.188,0.145
0.023,-1.133,0.117
0.051,-1.07,0.035
0.043,-1.004,-0.039
0.09,-0.949,-0.078
0.219,-0.949,-0.016
0.344,-1.016,0.145
0.391,-1.137,0.234
0.391,-1.238,0.219
0.379,-1.313,0.18
0.355,-1.391,0.168
0.32,-1.438,0.176
0.242,-1.414,0.176
0.117,-1.359,0.199
-0.031,-1.324,0.246
-0.129,-1.289,0.289
-0.172,-1.246,0.301
-0.18,-1.18,0.277
-0.168,-1.109,0.238
-0.133,-1.047,0.215
-0.102,-0.996,0.207
-0.094,-0.949,0.188
-0.09,-0.898,0.172
-0.09,-0.855,0.168
-0.078,-0.813,0.199
-0.059,-0.773,0.199
-0.055,-0.719,0.145
-0.055,-0.68,0.125
-0.039,-0.66,0.152
-0.023,-0.648,0.18
-0.023,-0.652,0.203
-0.023,-0.66,0.227
-0.035,-0.66,0.242
-0.035,-0.652,0.246
-0.043,-0.633,0.246
-0.063,-0.594,0.246
-0.09,-0.559,0.27
-0.121,-0.547,0.32
-0.172,-0.543,0.355
-0.199,-0.578,0.398
-0.23,-0.676,0.465
-0.266,-0.805,0.57
-0.277,-0.941,0.738
-0.27,-1.07,0.797
-0.324,-1.074,0.238
-0.305,-1.16,0.125
-0.027,-1.223,0.52
0.02,-1.363,0.41
-0.117,-1.41,0.242
-0.148,-1.301,0.367
-0.23,-1.113,0.453
-0.402,-0.934,0.441
-0.535,-0.805,0.512
-0.508,-0.918,0.617
-0.461,-1.195,0.559
-0.379,-1.422,0.438
-0.227,-1.488,0.367
-0.008,-1.414,0.254
0.18,-1.414,0.266
0.363,-1.586,0.379
0.387,-1.742,0.289
0.219,-1.621,0.23
0.121,-1.23,0.105
0.074,-0.809,0.051
0.098,-0.641,0.133
0.074,-0.602,0.156
0.105,-0.582,0.184
0.156,-0.605,0.172
0.188,-0.719,0.125
0.215,-0.934,0.137
0.188,-1.102,0.141
0.148,-1.109,0.137
0.152,-1.047,0.137
0.168,-1,0.168
0.203,-0.949,0.184
0.203,-0.867,0.141
0.18,-0.832,0.129
0.129,-0.848,0.137
0.09,-0.867,0.141
0.039,-0.879,0.141
0,-0.879,0.145
-0.016,-0.871,0.133
-0.047,-0.879,0.121
-0.043,-0.898,0.145
-0.051,-0.93,0.133
-0.043,-0.953,0.141
-0.051,-0.973,0.148
-0.102,-0.992,0.137
-0.129,-0.98,0.125
-0.137,-0.969,0.125
-0.176,-0.984,0.113
-0.176,-0.98,0.129
-0.172,-0.984,0.125
-0.195,-0.984,0.109
-0.18,-0.977,0.113
-0.16,-0.992,0.121
-0.129,-0.992,0.121
-0.109,-1,0.113
-0.074,-0.961,0.07
-0.039,-0.934,0.082
-0.035,-0.965,0.109
-0.023,-0.988,0.148
-0.027,-0.992,0.129
-0.066,-0.98,0.086
-0.148,-0.961,0.055
-0.23,-0.953,0.047
-0.262,-0.965,0.066
-0.227,-0.996,0.133
-0.172,-1.063,0.191
-0.145,-1.152,0.191
-0.129,-1.211,0.18
-0.082,-1.223,0.219
0.02,-1.16,0.172
0.016,-1.129,0.051
-0.004,-1.176,-0.035
0.07,-1.207,-0.078
0.207,-1.207,-0.094
0.402,-1.188,-0.012
0.531,-1.207,0.09
0.566,-1.227,0.176
0.555,-1.215,0.234
0.457,-1.195,0.207
0.301,-1.211,0.18
0.137,-1.266,0.215
0.008,-1.324,0.266
-0.094,-1.336,0.316
-0.156,-1.309,0.367
-0.199,-1.277,0.355
-0.219,-1.246,0.305
-0.203,-1.207,0.266
-0.188,-1.137,0.203
-0.152,-1.055,0.148
-0.109,-0.973,0.129
-0.082,-0.91,0.141
-0.082,-0.883,0.141
-0.07,-0.824,0.117
-0.035,-0.766,0.121
-0.008,-0.766,0.148
0.027,-0.77,0.168
0.051,-0.793,0.191
0.086,-0.816,0.215
0.102,-0.816,0.211
0.102,-0.797,0.211
0.094,-0.789,0.223
0.07,-0.785,0.23
0.043,-0.766,0.234
0,-0.746,0.234
-0.039,-0.703,0.234
-0.074,-0.652,0.246
-0.109,-0.602,0.27
-0.156,-0.598,0.305
-0.199,-0.609,0.367
-0.25,-0.641,0.379
-0.324,-0.668,0.32
-0.359,-0.676,0.262
-0.391,-0.707,0.246
-0.383,-0.75,0.281
-0.348,-0.832,0.234
-0.27,-0.957,0.219
-0.172,-1.043,0.258
0.004,-1.145,0.359
0.113,-1.25,0.367
-0.004,-1.285,0.34
-0.156,-1.273,0.383
-0.262,-1.281,0.406
-0.316,-1.324,0.371
-0.348,-1.379,0.363
-0.32,-1.504,0.395
-0.25,-1.762,0.453
-0.188,-2.09,0.445
-0.094,-2.316,0.348
-0.055,-2.258,0.234
-0.066,-1.727,0.109
-0.039,-1.105,0.039
-0.07,-0.723,0.012
-0.09,-0.496,-0.004
-0.059,-0.352,0.02
0.055,-0.305,0.094
0.195,-0.395,0.145
0.293,-0.605,0.141
0.387,-0.82,0.125
0.488,-0.961,0.113
0.559,-1.066,0.137
0.629,-1.098,0.137
0.645,-1,0.074
0.574,-0.941,0.051
0.469,-0.934,0.09
0.34,-0.996,0.117
0.188,-1.016,0.094
0.074,-0.992,0.113
-0.016,-0.961,0.156
-0.094,-0.945,0.203
-0.156,-0.934,0.191
-0.195,-0.922,0.176
-0.227,-0.934,0.18
-0.219,-0.969,0.215
-0.199,-0.984,0.215
-0.195,-0.977,0.168
-0.164,-0.961,0.148
-0.109,-0.949,0.145
-0.07,-0.945,0.141
-0.047,-0.949,0.137
-0.043,-0.984,0.145
-0.055,-1.031,0.133
-0.066,-1.055,0.121
-0.078,-1.066,0.121
-0.09,-1.059,0.113
-0.105,-1.055,0.125
-0.113,-1.059,0.137
-0.102,-1.063,0.148
-0.074,-1.063,0.164
-0.023,-1.055,0.172
0.051,-1.027,0.203
0.113,-1.023,0.207
0.137,-1.012,0.129
0.133,-0.98,0.094
0.121,-0.953,0.098
0.074,-0.965,0.098
0.035,-0.988,0.105
0.035,-1.008,0.133
0.051,-1.023,0.16
0.078,-1.027,0.191
0.094,-1.02,0.18
0.117,-1.004,0.164
0.137,-0.988,0.156
0.141,-0.992,0.152
0.133,-0.988,0.148
0.113,-0.992,0.152
0.086,-0.984,0.152
0.051,-0.98,0.156
0.031,-0.98,0.16
0.004,-0.988,0.145
-0.023,-1,0.137
-0.035,-1.008,0.137
-0.051,-1.008,0.129
-0.066,-1.02,0.121
-0.082,-1.035,0.113
-0.082,-1.07,0.105
-0.074,-1.102,0.102
-0.074,-1.105,0.094
-0.074,-1.098,0.09
-0.074,-1.082,0.109
-0.082,-1.059,0.125
-0.086,-1.035,0.141
-0.09,-1.02,0.145
-0.09,-0.996,0.145
-0.09,-0.984,0.148
-0.082,-0.977,0.148
-0.07,-0.973,0.148
-0.051,-0.973,0.152
-0.039,-0.977,0.16
-0.031,-0.973,0.156
-0.035,-0.965,0.152
-0.039,-0.953,0.156
-0.043,-0.945,0.164
-0.051,-0.938,0.16
-0.055,-0.934,0.156
-0.047,-0.945,0.156
-0.051,-0.965,0.16
-0.043,-0.988,0.164
-0.043,-1.02,0.184
-0.051,-1.055,0.188
-0.055,-1.082,0.184
-0.051,-1.09,0.191
-0.047,-1.086,0.195
-0.035,-1.063,0.199
-0.027,-1.039,0.211
-0.023,-1.02,0.211
-0.016,-1.012,0.203
-0.004,-0.996,0.207
-0.004,-0.996,0.203
-0.008,-0.996,0.199
-0.023,-1.004,0.207
-0.043,-1.023,0.211
-0.051,-1.039,0.203
-0.059,-1.043,0.199
-0.063,-1.031,0.191
-0.059,-1.012,0.195
-0.055,-0.992,0.199
-0.051,-0.977,0.195
-0.035,-0.969,0.199
-0.023,-0.973,0.195
-0.027,-0.992,0.195
-0.02,-1,0.195
-0.02,-1.02,0.191
-0.023,-1.035,0.195
-0.027,-1.039,0.199
-0.043,-1.023,0.199
-0.051,-1.012,0.195
-0.063,-0.996,0.207
-0.074,-0.988,0.215
-0.078,-0.98,0.211
-0.086,-0.988,0.215
-0.09,-1,0.207
-0.094,-1.012,0.207
-0.098,-1.02,0.203
-0.094,-1.016,0.199
-0.082,-1.016,0.191
-0.074,-1.016,0.195
-0.066,-1,0.195
-0.059,-0.988,0.199
-0.051,-0.98,0.199
-0.047,-0.984,0.203
-0.047,-0.988,0.207
-0.055,-1.012,0.207
-0.059,-1.027,0.203
-0.055,-1.023,0.195
-0.055,-1.016,0.195
-0.051,-1.012,0.199
-0.047,-1.004,0.203
-0.043,-1.004,0.203
-0.035,-1.008,0.203
-0.027,-1.008,0.203
-0.023,-1.008,0.199
-0.023,-1.008,0.199
-0.027,-1.004,0.199
-0.031,-1.004,0.199
-0.043,-1.008,0.211
-0.043,-1.008,0.203
-0.047,-1.012,0.199
-0.039,-1.012,0.199
-0.043,-1.012,0.203
-0.035,-1.008,0.207
-0.031,-1.008,0.211
-0.039,-1.004,0.207
-0.035,-1.004,0.203
-0.035,-1.008,0.207
-0.031,-1.012,0.211
-0.039,-1.012,0.207
-0.039,-1.012,0.203
-0.031,-1.012,0.199
-0.027,-1.012,0.203
-0.027,-1.004,0.207
-0.016,-1,0.211
-0.016,-0.996,0.207
-0.02,-1.004,0.199
-0.02,-1,0.203
-0.02,-1.004,0.207
-0.02,-1,0.211
-0.02,-0.996,0.211
-0.023,-1,0.215
-0.023,-0.992,0.215
-0.023,-0.984,0.223
-0.031,-0.984,0.223
-0.043,-0.984,0.227
-0.055,-0.992,0.238
-0.074,-0.984,0.234
-0.09,-0.98,0.23
-0.102,-0.98,0.23
-0.105,-1.004,0.246
-0.109,-1.016,0.258
-0.113,-1.016,0.238
-0.105,-1.012,0.227
-0.082,-1.012,0.234
-0.07,-1.008,0.215
-0.051,-1.008,0.215
-0.035,-1.004,0.227
-0.027,-1.004,0.23
-0.027,-0.996,0.23
-0.02,-0.996,0.234
-0.016,-0.992,0.25
-0.023,-0.984,0.246
-0.039,-0.984,0.227
-0.047,-0.988,0.207
-0.059,-0.996,0.195
-0.07,-1.004,0.195
-0.086,-1.008,0.188
-0.094,-1.012,0.203
-0.094,-1.012,0.219
-0.098,-1.004,0.195
-0.105,-1,0.188
-0.113,-1,0.191
-0.117,-1.004,0.191
-0.113,-1.008,0.195
-0.105,-1.008,0.199
-0.098,-1,0.195
-0.094,-1.004,0.195
-0.09,-1.008,0.207
-0.094,-1.008,0.207
-0.105,-1.008,0.203
-0.113,-1.008,0.199
-0.129,-1,0.207
-0.141,-1,0.207
-0.145,-1,0.207
-0.141,-1,0.199
-0.145,-1.004,0.195
-0.141,-1.004,0.199
-0.133,-1.004,0.215
-0.125,-1,0.203
-0.125,-1.004,0.195
-0.125,-1.004,0.195
-0.121,-1,0.18
-0.121,-0.996,0.195
-0.121,-0.996,0.207
-0.117,-0.996,0.203
-0.125,-1.004,0.195
-0.129,-1.008,0.191
-0.137,-1.012,0.18
-0.133,-1.012,0.191
-0.125,-1.012,0.18
-0.121,-1.027,0.176
-0.102,-1.027,0.18
-0.082,-1.023,0.172
-0.07,-1.016,0.168
-0.059,-1.008,0.164
-0.039,-1.008,0.164
-0.031,-1.012,0.164
-0.016,-1.008,0.172
-0.027,-1.012,0.152
-0.059,-1.023,0.148
-0.074,-1.031,0.16
-0.09,-1.02,0.152
-0.113,-1.008,0.141
-0.129,-1.004,0.133
-0.137,-0.988,0.133
-0.137,-0.992,0.137
-0.137,-1,0.133
-0.125,-0.996,0.133
-0.133,-1,0.133
-0.137,-1.004,0.137
-0.145,-1.004,0.133
-0.148,-1.004,0.133
-0.16,-1.004,0.129
-0.16,-1.008,0.125
-0.148,-1.023,0.121
-0.141,-1.031,0.117
-0.129,-1.031,0.109
-0.121,-1.027,0.121
-0.113,-1.035,0.125
-0.098,-1.039,0.121
-0.066,-1.039,0.129
-0.039,-1.043,0.137
-0.027,-1.043,0.137
0,-1.051,0.141
0.012,-1.07,0.156
0.016,-1.098,0.164
0.02,-1.113,0.164
0.027,-1.109,0.16
0.023,-1.094,0.152
0.016,-1.082,0.156
0.016,-1.074,0.16
0.012,-1.063,0.164
0.016,-1.039,0.168
0.016,-1.016,0.184
0.031,-0.996,0.191
0.055,-0.992,0.199
0.066,-0.996,0.211
0.07,-0.996,0.223
0.07,-0.996,0.234
0.055,-0.996,0.25
0.035,-0.996,0.254
0.004,-1,0.266
-0.023,-1.012,0.277
-0.055,-1.02,0.266
-0.086,-1.031,0.262
-0.105,-1.055,0.297
-0.137,-1.07,0.273
-0.148,-1.078,0.266
-0.133,-1.086,0.262
-0.121,-1.094,0.262
-0.098,-1.09,0.25
-0.074,-1.07,0.238
-0.059,-1.043,0.238
-0.059,-1.016,0.246
-0.051,-1.004,0.27
-0.055,-0.988,0.281
-0.063,-0.969,0.273
-0.066,-0.953,0.281
-0.07,-0.945,0.297
-0.082,-0.934,0.289
-0.098,-0.918,0.285
-0.109,-0.91,0.301
-0.113,-0.902,0.305
-0.129,-0.895,0.289
-0.141,-0.887,0.289
-0.152,-0.879,0.289
-0.16,-0.859,0.281
-0.164,-0.844,0.281
-0.16,-0.824,0.273
-0.16,-0.816,0.273
-0.164,-0.82,0.273
-0.16,-0.816,0.281
-0.172,-0.82,0.285
-0.168,-0.828,0.297
-0.172,-0.836,0.309
-0.18,-0.844,0.32
-0.18,-0.852,0.328
-0.188,-0.867,0.332
-0.195,-0.879,0.344
-0.203,-0.887,0.355
-0.219,-0.902,0.367
-0.23,-0.91,0.371
-0.238,-0.914,0.379
-0.246,-0.914,0.371
-0.246,-0.914,0.371
-0.242,-0.926,0.371
-0.234,-0.938,0.367
-0.223,-0.957,0.367
-0.207,-0.988,0.359
-0.191,-1.016,0.355
-0.188,-1.047,0.359
-0.203,-1.07,0.379
-0.23,-1.09,0.414
-0.258,-1.102,0.461
-0.293,-1.09,0.477
-0.328,-1.074,0.465
-0.316,-1.117,0.469
-0.277,-1.18,0.469
-0.223,-1.211,0.43
-0.16,-1.195,0.402
-0.078,-1.145,0.402
-0.008,-1.121,0.418
0.035,-1.145,0.445
0.059,-1.215,0.453
0.066,-1.281,0.402
0.098,-1.332,0.367
0.152,-1.332,0.363
0.195,-1.23,0.348
0.207,-1.09,0.34
0.18,-0.934,0.344
0.152,-0.805,0.371
0.098,-0.734,0.34
0.043,-0.684,0.289
0.016,-0.688,0.273
-0.016,-0.754,0.246
-0.031,-0.84,0.238
-0.031,-0.922,0.199
-0.027,-0.98,0.168
-0.004,-1.012,0.164
0.016,-1.008,0.164
0.023,-0.996,0.172
0,-0.98,0.168
-0.043,-0.98,0.164
-0.059,-0.98,0.188
-0.063,-0.973,0.188
-0.051,-0.965,0.184
-0.023,-0.961,0.18
0.016,-0.961,0.172
0.066,-0.961,0.16
0.117,-0.961,0.16
0.156,-0.969,0.152
0.164,-0.973,0.145
0.164,-0.977,0.137
0.156,-0.969,0.141
0.141,-0.969,0.156
0.105,-0.961,0.152
0.066,-0.969,0.164
0.027,-0.973,0.168
-0.016,-0.965,0.152
-0.043,-0.961,0.16
-0.059,-0.969,0.168
-0.078,-0.973,0.168
-0.094,-0.965,0.164
-0.105,-0.969,0.16
-0.105,-0.977,0.16
-0.105,-0.984,0.148
-0.098,-0.984,0.148
-0.102,-0.98,0.141
-0.094,-0.98,0.145
-0.094,-0.98,0.141
-0.098,-0.984,0.137
-0.102,-0.988,0.121
-0.102,-0.984,0.109
-0.098,-0.977,0.113
-0.102,-0.98,0.109
-0.113,-0.996,0.109
-0.113,-1.012,0.113
-0.117,-1.023,0.102
-0.102,-1.027,0.102
-0.098,-1.035,0.105
-0.098,-1.031,0.086
-0.094,-1.031,0.074
-0.09,-1.031,0.07
-0.086,-1.027,0.055
-0.066,-1.016,0.039
-0.039,-1,0.031
-0.023,-1,0.02
-0.023,-1.012,0.012
-0.023,-1.023,0.008
-0.039,-1.035,0.012
-0.055,-1.043,0.016
-0.086,-1.047,0.012
-0.125,-1.055,0.004
-0.168,-1.07,0.012
-0.203,-1.086,0.016
-0.215,-1.094,0.051
-0.215,-1.113,0.094
-0.227,-1.129,0.102
-0.238,-1.117,0.098
-0.242,-1.094,0.109
-0.219,-1.082,0.184
-0.18,-1.074,0.219
-0.16,-1.035,0.16
-0.156,-1.043,0.102
-0.137,-1.094,0.066
-0.105,-1.133,0.012
-0.051,-1.184,-0.016
0.031,-1.215,-0.008
0.121,-1.211,0.02
0.215,-1.168,0.059
0.281,-1.105,0.105
0.313,-1.027,0.145
0.305,-0.965,0.211
0.281,-0.926,0.277
0.23,-0.895,0.297
